,Step_size,Iteration,Conditional guide,Guide Mode,Path,guide_scale,guide_scale_base,accurancy,count_att,count_diff
165,1,79,False,,1,0,0.0,55.46,4237.0,217.0
166,4,51,False,,1,0,0.0,70.97,2188.0,715.0
167,1,80,False,,1,0,0.0,55.64,4207.0,229.0
168,20,35,False,,1,0,0.0,80.09,1122.0,869.0
169,4,52,False,,1,0,0.0,70.71,2171.0,758.0
170,1,81,False,,1,0,0.0,55.59,4219.0,222.0
171,1,82,False,,1,0,0.0,55.91,4148.0,261.0
172,4,53,False,,1,0,0.0,71.01,2097.0,802.0
173,1,83,False,,1,0,0.0,56.4,4088.0,272.0
174,1,84,False,,1,0,0.0,56.47,4109.0,244.0
175,4,54,False,,1,0,0.0,71.09,2109.0,782.0
176,20,36,False,,1,0,0.0,79.89,1124.0,887.0
177,1,85,False,,1,0,0.0,56.96,4021.0,283.0
178,1,86,False,,1,0,0.0,57.48,3981.0,271.0
179,4,55,False,,1,0,0.0,70.97,2084.0,819.0
180,1,87,False,,1,0,0.0,57.8,3956.0,264.0
181,1,88,False,,1,0,0.0,58.22,3927.0,251.0
182,4,56,False,,1,0,0.0,71.88,2049.0,763.0
183,1,89,False,,1,0,0.0,58.69,3832.0,299.0
184,20,37,False,,1,0,0.0,79.13,1107.0,980.0
185,4,57,False,,1,0,0.0,71.64,2006.0,830.0
186,1,90,False,,1,0,0.0,58.27,3881.0,292.0
187,1,91,False,,1,0,0.0,58.98,3795.0,307.0
188,3,58,False,,1,0,0.0,69.77,2389.0,634.0
189,1,92,False,,1,0,0.0,58.49,3833.0,318.0
190,3,59,False,,1,0,0.0,69.93,2349.0,658.0
191,1,93,False,,1,0,0.0,59.16,3786.0,298.0
192,1,94,False,,1,0,0.0,59.76,3694.0,330.0
193,3,60,False,,1,0,0.0,69.92,2366.0,642.0
194,20,38,False,,1,0,0.0,79.87,1104.0,909.0
195,1,95,False,,1,0,0.0,59.73,3722.0,305.0
196,3,61,False,,1,0,0.0,69.56,2363.0,681.0
197,1,96,False,,1,0,0.0,59.74,3706.0,320.0
198,1,97,False,,1,0,0.0,60.74,3608.0,318.0
199,3,62,False,,1,0,0.0,70.08,2318.0,674.0
200,1,98,False,,1,0,0.0,61.19,3560.0,321.0
201,3,63,False,,1,0,0.0,70.25,2290.0,685.0
202,20,39,False,,1,0,0.0,79.02,1089.0,1009.0
203,1,99,False,,1,0,0.0,61.04,3581.0,315.0
204,1,100,False,,1,0,0.0,61.03,3597.0,300.0
205,3,64,False,,1,0,0.0,70.71,2233.0,696.0
206,3,65,False,,1,0,0.0,70.42,2256.0,702.0
207,3,66,False,,1,0,0.0,70.5,2208.0,742.0
208,3,67,False,,1,0,0.0,70.77,2203.0,720.0
209,3,68,False,,1,0,0.0,70.65,2206.0,729.0
210,10,1,False,,1,0,0.0,2.48,9750.0,2.0
211,20,1,False,,1,0,0.0,56.99,4238.0,63.0
212,30,1,False,,1,0,0.0,78.2,2025.0,155.0
213,40,1,False,,1,0,0.0,83.5,1382.0,268.0
